HomeTeam,AwayTeam,Winner,Player,GoalTime
Australia,Kuwait,Kuwait,Hussain Fadhel,8
Australia,Kuwait,Australia,Tim Cahill,33
Australia,Kuwait,Australia,Massimo Luongo,45
Australia,Kuwait,Australia,Mile Jedinak,62
Australia,Kuwait,Australia,James Troisi,90
Saudi Arabia,China PR,China PR,Yu Hai,81
South Korea,Oman,South Korea,Cho Young-cheol,45
Uzbekistan,North Korea,Uzbekistan,Igor Sergeev,62
Iran,Bahrain,Iran,Ehsan Hajsafi,45
Iran,Bahrain,Iran,Masoud Shojaei,71
United Arab Emirates,Qatar,Qatar,Khalfan Ibrahim,23
United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,37
United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,52
United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,56
United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,90
Japan,Palestine,Japan,Yasuhito Endō,8
Japan,Palestine,Japan,Shinji Okazaki,25
Japan,Palestine,Japan,Keisuke Honda,43
Japan,Palestine,Japan,Maya Yoshida,49
Jordan,Iraq,Iraq,Yaser Kasim,77
Australia,Oman,Australia,Matt McKay,27
Australia,Oman,Australia,Robbie Kruse,30
Australia,Oman,Australia,Mark Milligan,45
Australia,Oman,Australia,Tomi Juric,70
Kuwait,South Korea,South Korea,Nam Tae-hee,36
China PR,Uzbekistan,Uzbekistan,Odil Ahmedov,23
China PR,Uzbekistan,China PR,Wu Xi,54
China PR,Uzbekistan,China PR,Sun Ke,68
North Korea,Saudi Arabia,North Korea,Ryang Yong-gi,12
North Korea,Saudi Arabia,Saudi Arabia,Naif Hazazi,37
North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,52
North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,54
North Korea,Saudi Arabia,Saudi Arabia,Nawaf Al-Abed,76
Bahrain,United Arab Emirates,United Arab Emirates,Ali Mabkhout,1
Bahrain,United Arab Emirates,Bahrain,Jaycee John Okwunwanne,26
Bahrain,United Arab Emirates,United Arab Emirates,Mohamed Husain,74
Qatar,Iran,Iran,Sardar Azmoun,52
Iraq,Japan,Japan,Keisuke Honda,23
Palestine,Jordan,Jordan,Yousef Al-Rawashdeh,32
Palestine,Jordan,Jordan,Hamza Al-Dardour,34
Palestine,Jordan,Jordan,Hamza Al-Dardour,45
Palestine,Jordan,Jordan,Hamza Al-Dardour,75
Palestine,Jordan,Jordan,Hamza Al-Dardour,79
Palestine,Jordan,Palestine,Jaka Ihbeisheh,84
Australia,South Korea,South Korea,Lee Jung-hyup,33
Burkina Faso,Gabon,Gabon,Pierre-Emerick Aubameyang,19
Burkina Faso,Gabon,Gabon,Malick Evouna,72
Equatorial Guinea,Congo,Equatorial Guinea,Emilio Nsue,16
Equatorial Guinea,Congo,Congo,Thievy Bifouma,87
Oman,Kuwait,Oman,Abdul Aziz Al-Muqbali,69
China PR,North Korea,China PR,Sun Ke,1
China PR,North Korea,China PR,Sun Ke,42
China PR,North Korea,North Korea,Gao Lin,57
Tunisia,Cape Verde,Tunisia,Mohamed Ali Manser,70
Tunisia,Cape Verde,Cape Verde,Héldon Ramos,78
Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,2
Uzbekistan,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,60
Uzbekistan,Saudi Arabia,Uzbekistan,Vokhid Shodiev,71
Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,78
Zambia,DR Congo,Zambia,Given Singuluma,2
Zambia,DR Congo,DR Congo,Yannick Bolasie,66
Algeria,South Africa,South Africa,Thuso Phala,51
Algeria,South Africa,Algeria,Thulani Hlatshwayo,67
Algeria,South Africa,Algeria,Faouzi Ghoulam,72
Algeria,South Africa,Algeria,Islam Slimani,83
Ghana,Senegal,Ghana,André Ayew,14
Ghana,Senegal,Senegal,Mame Biram Diouf,58
Ghana,Senegal,Senegal,Moussa Sow,90
Iran,United Arab Emirates,Iran,Reza Ghoochannejhad,90
Qatar,Bahrain,Bahrain,Sayed Dhiya Saeed,34
Qatar,Bahrain,Qatar,Hassan Al-Haydos,68
Qatar,Bahrain,Bahrain,Sayed Jaafar Ahmed,82
Iraq,Palestine,Iraq,Younis Mahmoud,48
Iraq,Palestine,Iraq,Ahmed Yasin Ghani,88
Ivory Coast,Guinea,Guinea,Mohamed Yattara,36
Ivory Coast,Guinea,Ivory Coast,Seydou Doumbia,72
Japan,Jordan,Japan,Keisuke Honda,24
Japan,Jordan,Japan,Shinji Kagawa,82
Mali,Cameroon,Mali,Sambou Yatabaré,71
Mali,Cameroon,Cameroon,Ambroise Oyongo,84
Gabon,Congo,Congo,Prince Oniangué,48
Australia,China PR,Australia,Tim Cahill,48
Australia,China PR,Australia,Tim Cahill,65
South Korea,Uzbekistan,South Korea,Son Heung-min,104
South Korea,Uzbekistan,South Korea,Son Heung-min,119
Zambia,Tunisia,Zambia,Emmanuel Mayuka,60
Zambia,Tunisia,Tunisia,Ahmed Akaïchi,70
Zambia,Tunisia,Tunisia,Yassine Chikhaoui,89
Ghana,Algeria,Ghana,Asamoah Gyan,90
Iran,Iraq,Iran,Sardar Azmoun,24
Iran,Iraq,Iraq,Ahmed Yasin Ghani,56
Iran,Iraq,Iraq,Younis Mahmoud,93
Iran,Iraq,Iran,Morteza Pouraliganji,103
Iran,Iraq,Iraq,Dhurgham Ismail,116
Iran,Iraq,Iran,Reza Ghoochannejhad,119
Japan,United Arab Emirates,United Arab Emirates,Ali Mabkhout,7
Japan,United Arab Emirates,Japan,Gaku Shibasaki,81
South Africa,Senegal,South Africa,Oupa Manyisa,47
South Africa,Senegal,Senegal,Kara Mbodji,60
Cameroon,Guinea,Cameroon,Benjamin Moukandjo,13
Cameroon,Guinea,Guinea,Ibrahima Traoré,42
Ivory Coast,Mali,Mali,Bakary Sako,7
Ivory Coast,Mali,Ivory Coast,Max Gradel,86
Congo,Burkina Faso,Congo,Thievy Bifouma,51
Congo,Burkina Faso,Burkina Faso,Aristide Bancé,86
Congo,Burkina Faso,Congo,Fabrice Ondama,87
Equatorial Guinea,Gabon,Equatorial Guinea,Javier Balboa,55
Equatorial Guinea,Gabon,Equatorial Guinea,Iban Salvador,85
DR Congo,Tunisia,Tunisia,Ahmed Akaïchi,31
DR Congo,Tunisia,DR Congo,Jeremy Bokila,66
South Korea,Iraq,South Korea,Lee Jung-hyup,20
South Korea,Iraq,South Korea,Kim Young-gwon,50
Australia,United Arab Emirates,Australia,Trent Sainsbury,3
Australia,United Arab Emirates,Australia,Jason Davidson,14
Senegal,Algeria,Algeria,Riyad Mahrez,11
Senegal,Algeria,Algeria,Nabil Bentaleb,82
South Africa,Ghana,South Africa,Mandla Masango,17
South Africa,Ghana,Ghana,John Boye,73
South Africa,Ghana,Ghana,André Ayew,83
Cameroon,Ivory Coast,Ivory Coast,Max Gradel,35
Guinea,Mali,Guinea,Kévin Constant,15
Guinea,Mali,Mali,Modibo Maïga,47
Iraq,United Arab Emirates,United Arab Emirates,Ahmed Khalil,16
Iraq,United Arab Emirates,Iraq,Waleed Salim Al-Lami,28
Iraq,United Arab Emirates,Iraq,Amjad Kalaf,42
Iraq,United Arab Emirates,United Arab Emirates,Ahmed Khalil,51
Iraq,United Arab Emirates,United Arab Emirates,Ali Mabkhout,57
Australia,South Korea,Australia,Massimo Luongo,45
Australia,South Korea,South Korea,Son Heung-min,90
Australia,South Korea,Australia,James Troisi,105
Congo,DR Congo,Congo,Férébory Doré,55
Congo,DR Congo,Congo,Thievy Bifouma,62
Congo,DR Congo,DR Congo,Dieumerci Mbokani,65
Congo,DR Congo,DR Congo,Jeremy Bokila,75
Congo,DR Congo,DR Congo,Joël Kimwaki,81
Congo,DR Congo,DR Congo,Dieumerci Mbokani,90
Equatorial Guinea,Tunisia,Tunisia,Ahmed Akaïchi,70
Equatorial Guinea,Tunisia,Equatorial Guinea,Javier Balboa,90
Equatorial Guinea,Tunisia,Equatorial Guinea,Javier Balboa,102
Ghana,Guinea,Ghana,Christian Atsu,4
Ghana,Guinea,Ghana,Kwesi Appiah,44
Ghana,Guinea,Ghana,Christian Atsu,61
Ivory Coast,Algeria,Ivory Coast,Wilfried Bony,26
Ivory Coast,Algeria,Algeria,Hillal Soudani,51
Ivory Coast,Algeria,Ivory Coast,Wilfried Bony,68
Ivory Coast,Algeria,Ivory Coast,Gervinho,90
DR Congo,Ivory Coast,Ivory Coast,Yaya Touré,20
DR Congo,Ivory Coast,DR Congo,Dieumerci Mbokani,24
DR Congo,Ivory Coast,Ivory Coast,Gervinho,41
DR Congo,Ivory Coast,Ivory Coast,Wilfried Kanon,68
Equatorial Guinea,Ghana,Ghana,Jordan Ayew,42
Equatorial Guinea,Ghana,Ghana,Mubarak Wakaso,45
Equatorial Guinea,Ghana,Ghana,André Ayew,75
Cambodia,Macau,Cambodia,Chan Vathanaka,63
Cambodia,Macau,Cambodia,Chan Vathanaka,80
Cambodia,Macau,Cambodia,Khoun Laboravy,90
India,Nepal,India,Sunil Chhetri,53
India,Nepal,India,Sunil Chhetri,70
Sri Lanka,Bhutan,Bhutan,Tshering Dorji,82
Taiwan,Brunei,Brunei,Adi Said,36
Yemen,Pakistan,Yemen,Abdulwasea Al-Matari,3
Yemen,Pakistan,Yemen,Mohammed Boqshan,56
Yemen,Pakistan,Pakistan,Hassan Bashir,67
Yemen,Pakistan,Yemen,Ala Al-Sasi,69
Bhutan,Sri Lanka,Bhutan,Chencho Gyeltshen,6
Bhutan,Sri Lanka,Sri Lanka,Subash Madushan,34
Bhutan,Sri Lanka,Bhutan,Chencho Gyeltshen,90
Brunei,Taiwan,Taiwan,Wang Rui,37
Brunei,Taiwan,Taiwan,Onur Dogan,52
Macau,Cambodia,Cambodia,Thierry Bin,29
Macau,Cambodia,Macau,Leong Ka Hang,52
Barbados,United States Virgin Islands,United States Virgin Islands,Jamie Browne,16
Nicaragua,Anguilla,Nicaragua,Luis Galeano,12
Nicaragua,Anguilla,Nicaragua,Luis Copete,25
Nicaragua,Anguilla,Nicaragua,Juan Barrera,37
Nicaragua,Anguilla,Nicaragua,Luis Copete,39
Nicaragua,Anguilla,Nicaragua,Norfran Lazo,63
Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Atiba Harris,18
Saint Kitts and Nevis,Turks and Caicos Islands,Turks and Caicos Islands,Billy Forbes,22
Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Thrizen Leader,43
Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Orlando Mitchum,45
Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Tishan Hanley,68
Saint Kitts and Nevis,Turks and Caicos Islands,Turks and Caicos Islands,Thrizen Leader,74
Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Errol O'Loughlin,86
Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Orlando Mitchum,90
Bahamas,Bermuda,Bermuda,Dante Leverock,4
Bahamas,Bermuda,Bermuda,Nahki Wells,14
Bahamas,Bermuda,Bermuda,Zeiko Lewis,29
Bahamas,Bermuda,Bermuda,Justin Donawa,57
Bahamas,Bermuda,Bermuda,Justin Donawa,70
Dominica,British Virgin Islands,British Virgin Islands,Eduard Moss,42
Dominica,British Virgin Islands,Dominica,Glensworth Elizee,45
Dominica,British Virgin Islands,British Virgin Islands,Jordan Johnson,52
Dominica,British Virgin Islands,Dominica,Mitchell Joseph,65
Dominica,British Virgin Islands,Dominica,Randolph Peltier,80
Turks and Caicos Islands,Saint Kitts and Nevis,Turks and Caicos Islands,Widlin Calixte,5
Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Joash Leader,7
Turks and Caicos Islands,Saint Kitts and Nevis,Turks and Caicos Islands,Widlin Calixte,14
Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Joash Leader,29
Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Harry Panayiotou,33
Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Harry Panayiotou,55
Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Harry Panayiotou,60
Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Ryan Robbins,73
United States Virgin Islands,Barbados,Barbados,Raheim Sargeant,4
United States Virgin Islands,Barbados,Barbados,Jamal Chandler,25
United States Virgin Islands,Barbados,Barbados,Mario Harte,76
United States Virgin Islands,Barbados,Barbados,Jabarry Chandler,90
Curaçao,Montserrat,Curaçao,Papito Merencia,8
Curaçao,Montserrat,Montserrat,Lyle Taylor,24
Curaçao,Montserrat,Curaçao,Felitciano Zschusschen,39
England,Lithuania,England,Wayne Rooney,6
England,Lithuania,England,Danny Welbeck,45
England,Lithuania,England,Raheem Sterling,58
England,Lithuania,England,Harry Kane,73
Liechtenstein,Austria,Austria,Martin Harnik,14
Liechtenstein,Austria,Austria,Marc Janko,16
Liechtenstein,Austria,Austria,David Alaba,59
Liechtenstein,Austria,Austria,Zlatko Junuzović,74
Liechtenstein,Austria,Austria,Marko Arnautović,90
Moldova,Sweden,Sweden,Zlatan Ibrahimović,46
Moldova,Sweden,Sweden,Zlatan Ibrahimović,84
North Macedonia,Belarus,North Macedonia,Aleksandar Trajkovski,9
North Macedonia,Belarus,Belarus,Timofei Kalachev,44
North Macedonia,Belarus,Belarus,Sergei Kornilenko,82
Slovakia,Luxembourg,Slovakia,Adam Nemec,10
Slovakia,Luxembourg,Slovakia,Vladimír Weiss,21
Slovakia,Luxembourg,Slovakia,Peter Pekarík,40
Slovenia,San Marino,Slovenia,Josip Iličić,10
Slovenia,San Marino,Slovenia,Kevin Kampl,49
Slovenia,San Marino,Slovenia,Andraž Struna,50
Slovenia,San Marino,Slovenia,Milivoje Novaković,52
Slovenia,San Marino,Slovenia,Dejan Lazarević,73
Slovenia,San Marino,Slovenia,Branko Ilić,88
Spain,Ukraine,Spain,Álvaro Morata,28
Switzerland,Estonia,Switzerland,Fabian Schär,17
Switzerland,Estonia,Switzerland,Granit Xhaka,27
Switzerland,Estonia,Switzerland,Haris Seferovic,80
Andorra,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,13
Andorra,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,49
Andorra,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,62
Azerbaijan,Malta,Azerbaijan,Javid Huseynov,4
Azerbaijan,Malta,Azerbaijan,Dimitrij Nazarov,90
Belgium,Cyprus,Belgium,Marouane Fellaini,21
Belgium,Cyprus,Belgium,Christian Benteke,35
Belgium,Cyprus,Belgium,Marouane Fellaini,66
Belgium,Cyprus,Belgium,Eden Hazard,67
Belgium,Cyprus,Belgium,Michy Batshuayi,80
Bulgaria,Italy,Italy,Yordan Minev,4
Bulgaria,Italy,Bulgaria,Ivelin Popov,11
Bulgaria,Italy,Bulgaria,Iliyan Mitsanski,17
Bulgaria,Italy,Italy,Éder,84
Croatia,Norway,Croatia,Marcelo Brozović,30
Croatia,Norway,Croatia,Ivan Perišić,53
Croatia,Norway,Croatia,Ivica Olić,65
Croatia,Norway,Norway,Alexander Tettey,80
Croatia,Norway,Croatia,Gordon Schildenfeld,87
Croatia,Norway,Croatia,Danijel Pranjić,90
Czech Republic,Latvia,Latvia,Aleksejs Višņakovs,30
Czech Republic,Latvia,Czech Republic,Václav Pilař,90
Israel,Wales,Wales,Aaron Ramsey,45
Israel,Wales,Wales,Gareth Bale,50
Israel,Wales,Wales,Gareth Bale,77
Kazakhstan,Iceland,Iceland,Eiður Guðjohnsen,20
Kazakhstan,Iceland,Iceland,Birkir Bjarnason,32
Kazakhstan,Iceland,Iceland,Birkir Bjarnason,90
Netherlands,Turkey,Turkey,Burak Yılmaz,37
Netherlands,Turkey,Netherlands,Klaas-Jan Huntelaar,90
Albania,Armenia,Armenia,Mërgim Mavraj,4
Albania,Armenia,Albania,Mërgim Mavraj,77
Albania,Armenia,Albania,Shkëlzen Gashi,81
Anguilla,Nicaragua,Nicaragua,Raúl Leguías,22
Anguilla,Nicaragua,Nicaragua,Juan Barrera,45
Anguilla,Nicaragua,Nicaragua,Raúl Leguías,67
Bermuda,Bahamas,Bermuda,Nahki Wells,79
Bermuda,Bahamas,Bermuda,Tyrell Burgess,81
Bermuda,Bahamas,Bermuda,Nahki Wells,87
Cayman Islands,Belize,Cayman Islands,Mark Ebanks,5
Cayman Islands,Belize,Belize,Elroy Kuylen,20
Georgia,Germany,Germany,Marco Reus,39
Georgia,Germany,Germany,Thomas Müller,44
Northern Ireland,Finland,Northern Ireland,Kyle Lafferty,33
Northern Ireland,Finland,Northern Ireland,Kyle Lafferty,38
Northern Ireland,Finland,Finland,Berat Sadik,90
Portugal,Serbia,Portugal,Ricardo Carvalho,10
Portugal,Serbia,Serbia,Nemanja Matić,61
Portugal,Serbia,Portugal,Fábio Coentrão,63
Republic of Ireland,Poland,Poland,Sławomir Peszko,26
Republic of Ireland,Poland,Republic of Ireland,Shane Long,90
Romania,Faroe Islands,Romania,Claudiu Keșerü,21
Scotland,Gibraltar,Scotland,Shaun Maloney,18
Scotland,Gibraltar,Gibraltar,Lee Casciaro,19
Scotland,Gibraltar,Scotland,Steven Fletcher,29
Scotland,Gibraltar,Scotland,Shaun Maloney,34
Scotland,Gibraltar,Scotland,Steven Naismith,39
Scotland,Gibraltar,Scotland,Steven Fletcher,77
Scotland,Gibraltar,Scotland,Steven Fletcher,90
Israel,Belgium,Belgium,Marouane Fellaini,9
Montserrat,Curaçao,Curaçao,Darryl Lachman,41
Montserrat,Curaçao,Montserrat,Jamal Willer,65
Montserrat,Curaçao,Montserrat,Bradley Woods-Garness,83
Montserrat,Curaçao,Curaçao,Charlton Vicento,89
Thailand,Vietnam,Thailand,Pokklaw Anan,80
Nicaragua,Suriname,Nicaragua,Carlos Chavarría,44
Antigua and Barbuda,Saint Lucia,Antigua and Barbuda,Tevaughn Harriette,21
Antigua and Barbuda,Saint Lucia,Saint Lucia,Tremain Paul,26
Antigua and Barbuda,Saint Lucia,Saint Lucia,David Henry,61
Antigua and Barbuda,Saint Lucia,Saint Lucia,Troy Greenidge,90
Aruba,Barbados,Barbados,Emmerson Boyce,17
Aruba,Barbados,Barbados,Emmerson Boyce,29
Saint Vincent and the Grenadines,Guyana,Guyana,Brandon Beresford,27
Saint Vincent and the Grenadines,Guyana,Saint Vincent and the Grenadines,Cornelius Stewart,51
Saint Vincent and the Grenadines,Guyana,Guyana,Ricky Shakes,77
Saint Vincent and the Grenadines,Guyana,Saint Vincent and the Grenadines,Tevin Slater,84
Afghanistan,Syria,Syria,Raja Rafe,19
Afghanistan,Syria,Syria,Raja Rafe,35
Afghanistan,Syria,Syria,Moayad Ajan,42
Afghanistan,Syria,Syria,Abdelrazaq Al Hussain,70
Afghanistan,Syria,Syria,Sanharib Malki,75
Afghanistan,Syria,Syria,Omar Khribin,90
Bangladesh,Kyrgyzstan,Kyrgyzstan,Anton Zemlianukhin,9
Bangladesh,Kyrgyzstan,Kyrgyzstan,Edgar Bernhardt,29
Bangladesh,Kyrgyzstan,Bangladesh,Valery Kichin,32
Bangladesh,Kyrgyzstan,Kyrgyzstan,Anton Zemlianukhin,41
Cambodia,Singapore,Singapore,Khairul Amri,9
Cambodia,Singapore,Singapore,Safuwan Baharudin,21
Cambodia,Singapore,Singapore,Safuwan Baharudin,35
Cambodia,Singapore,Singapore,Fazrul Nawaz,55
Chile,Ecuador,Chile,Arturo Vidal,66
Chile,Ecuador,Chile,Eduardo Vargas,83
Dominica,Canada,Canada,Cyle Larin,5
Dominica,Canada,Canada,Russell Teibert,64
Dominican Republic,Belize,Belize,Deon McCaulay,13
Dominican Republic,Belize,Dominican Republic,Geremy Lombardi,71
Dominican Republic,Belize,Belize,Deon McCaulay,88
Guam,Turkmenistan,Guam,Serdar Annaorazow,12
Hong Kong,Bhutan,Hong Kong,Jaimes McKee,19
Hong Kong,Bhutan,Hong Kong,Christian Annan,23
Hong Kong,Bhutan,Hong Kong,Lo Kwan Yee,30
Hong Kong,Bhutan,Hong Kong,Ju Yingzhi,42
Hong Kong,Bhutan,Hong Kong,Lam Ka Wai,49
Hong Kong,Bhutan,Hong Kong,Jaimes McKee,57
Hong Kong,Bhutan,Hong Kong,Godfred Karikari,67
India,Oman,Oman,Qasim Said,1
India,Oman,India,Sunil Chhetri,26
India,Oman,Oman,Amad Al-Hosni,40
Laos,Myanmar,Myanmar,Zaw Min Tun,41
Laos,Myanmar,Laos,Khampheng Sayavutthi,81
Laos,Myanmar,Laos,Khampheng Sayavutthi,83
Laos,Myanmar,Myanmar,Kyaw Zayar Win,85
Lebanon,Kuwait,Kuwait,Yousef Nasser,86
Maldives,Qatar,Qatar,Ahmed Abdul Maqsoud,90
Philippines,Bahrain,Philippines,Misagh Bahadoran,50
Philippines,Bahrain,Philippines,Javier Patiño,60
Philippines,Bahrain,Bahrain,Abdulwahab Al-Malood,90
Saint Kitts and Nevis,El Salvador,El Salvador,Irvin Herrera,41
Saint Kitts and Nevis,El Salvador,Saint Kitts and Nevis,Orlando Mitchum,68
Saint Kitts and Nevis,El Salvador,Saint Kitts and Nevis,Romaine Sawyers,71
Saint Kitts and Nevis,El Salvador,El Salvador,Nelson Bonilla,87
Saudi Arabia,Palestine,Saudi Arabia,Yahya Al-Shehri,6
Saudi Arabia,Palestine,Saudi Arabia,Mohammad Al-Sahlawi,46
Saudi Arabia,Palestine,Palestine,Pablo Tamburrini,51
Saudi Arabia,Palestine,Saudi Arabia,Mohammad Al-Sahlawi,90
Saudi Arabia,Palestine,Palestine,Matías Jadue,90
Tajikistan,Jordan,Jordan,Hassan Abdel-Fattah,29
Tajikistan,Jordan,Jordan,Hassan Abdel-Fattah,63
Tajikistan,Jordan,Tajikistan,Manuchekhr Dzhalilov,66
Tajikistan,Jordan,Jordan,Hassan Abdel-Fattah,88
Andorra,Cyprus,Andorra,Dossa Júnior,2
Andorra,Cyprus,Cyprus,Nestoras Mitidis,13
Andorra,Cyprus,Cyprus,Nestoras Mitidis,45
Andorra,Cyprus,Cyprus,Nestoras Mitidis,53
Bosnia and Herzegovina,Israel,Israel,Tal Ben Haim,41
Bosnia and Herzegovina,Israel,Bosnia and Herzegovina,Edin Višća,42
Bosnia and Herzegovina,Israel,Bosnia and Herzegovina,Edin Džeko,45
Bosnia and Herzegovina,Israel,Bosnia and Herzegovina,Edin Višća,75
Croatia,Italy,Croatia,Mario Mandžukić,11
Croatia,Italy,Italy,Antonio Candreva,36
Iceland,Czech Republic,Czech Republic,Bořek Dočkal,55
Iceland,Czech Republic,Iceland,Aron Gunnarsson,60
Iceland,Czech Republic,Iceland,Kolbeinn Sigþórsson,76
Kazakhstan,Turkey,Turkey,Arda Turan,83
Latvia,Netherlands,Netherlands,Georginio Wijnaldum,67
Latvia,Netherlands,Netherlands,Luciano Narsingh,71
Malta,Bulgaria,Bulgaria,Ivelin Popov,56
Puerto Rico,Grenada,Puerto Rico,Deniz Bozkurt,16
Wales,Belgium,Wales,Gareth Bale,25
Argentina,Paraguay,Argentina,Sergio Agüero,28
Argentina,Paraguay,Argentina,Lionel Messi,35
Argentina,Paraguay,Paraguay,Nelson Valdez,59
Argentina,Paraguay,Paraguay,Lucas Barrios,89
Armenia,Portugal,Armenia,Marcos Pizzelli,14
Armenia,Portugal,Portugal,Cristiano Ronaldo,29
Armenia,Portugal,Portugal,Cristiano Ronaldo,55
Armenia,Portugal,Portugal,Cristiano Ronaldo,58
Armenia,Portugal,Armenia,Hrayr Mkoyan,72
Denmark,Serbia,Denmark,Yussuf Poulsen,13
Denmark,Serbia,Denmark,Jakob Poulsen,87
Faroe Islands,Greece,Faroe Islands,Hallur Hansson,32
Faroe Islands,Greece,Faroe Islands,Brandur Olsen,70
Faroe Islands,Greece,Greece,Sokratis Papastathopoulos,84
Finland,Hungary,Hungary,Zoltán Stieber,82
Gibraltar,Germany,Germany,André Schürrle,28
Gibraltar,Germany,Germany,Max Kruse,47
Gibraltar,Germany,Germany,İlkay Gündoğan,51
Gibraltar,Germany,Germany,Karim Bellarabi,57
Gibraltar,Germany,Germany,André Schürrle,65
Gibraltar,Germany,Germany,André Schürrle,71
Gibraltar,Germany,Germany,Max Kruse,81
Poland,Georgia,Poland,Arkadiusz Milik,62
Poland,Georgia,Poland,Robert Lewandowski,89
Poland,Georgia,Poland,Robert Lewandowski,90
Poland,Georgia,Poland,Robert Lewandowski,90
Republic of Ireland,Scotland,Republic of Ireland,Jonathan Walters,38
Republic of Ireland,Scotland,Scotland,John O'Shea,47
Uruguay,Jamaica,Uruguay,Cristian Rodríguez,51
Antigua and Barbuda,Saint Lucia,Antigua and Barbuda,Josh Parker,72
Antigua and Barbuda,Saint Lucia,Saint Lucia,Kurt Frederick,81
Antigua and Barbuda,Saint Lucia,Antigua and Barbuda,Tevaughn Harriette,85
Antigua and Barbuda,Saint Lucia,Antigua and Barbuda,Josh Parker,90
Antigua and Barbuda,Saint Lucia,Antigua and Barbuda,Aaron Tumwa,90
Belarus,Spain,Spain,David Silva,45
Belize,Dominican Republic,Belize,Harrison Róchez,17
Belize,Dominican Republic,Belize,Elroy Kuylen,38
Belize,Dominican Republic,Belize,Deon McCaulay,77
Brazil,Peru,Peru,Christian Cueva,2
Brazil,Peru,Brazil,Neymar,4
Brazil,Peru,Brazil,Douglas Costa,90
Colombia,Venezuela,Venezuela,Salomón Rondón,59
Cuba,Curaçao,Cuba,Yénier Márquez,5
Cuba,Curaçao,Curaçao,Papito Merencia,16
Estonia,San Marino,Estonia,Sergei Zenjov,35
Estonia,San Marino,Estonia,Sergei Zenjov,63
Guyana,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Myron Samuel,16
Guyana,Saint Vincent and the Grenadines,Guyana,Emery Welshman,40
Guyana,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Tevin Slater,41
Guyana,Saint Vincent and the Grenadines,Guyana,Neil Danns,50
Guyana,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Tevin Slater,58
Guyana,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Oalex Anderson,67
Guyana,Saint Vincent and the Grenadines,Guyana,Emery Welshman,77
Guyana,Saint Vincent and the Grenadines,Guyana,Neil Danns,87
Liechtenstein,Moldova,Liechtenstein,Sandro Wieser,20
Liechtenstein,Moldova,Moldova,Gheorghe Boghiu,43
Lithuania,Switzerland,Lithuania,Fedor Černych,64
Lithuania,Switzerland,Switzerland,Josip Drmić,69
Lithuania,Switzerland,Switzerland,Xherdan Shaqiri,84
Russia,Austria,Austria,Marc Janko,33
Slovakia,North Macedonia,Slovakia,Kornel Saláta,8
Slovakia,North Macedonia,Slovakia,Marek Hamšík,38
Slovakia,North Macedonia,North Macedonia,Arijan Ademi,69
Slovenia,England,Slovenia,Milivoje Novaković,37
Slovenia,England,England,Jack Wilshere,57
Slovenia,England,England,Jack Wilshere,73
Slovenia,England,Slovenia,Nejc Pečnik,84
Slovenia,England,England,Wayne Rooney,86
Sweden,Montenegro,Sweden,Marcus Berg,37
Sweden,Montenegro,Sweden,Zlatan Ibrahimović,40
Sweden,Montenegro,Sweden,Zlatan Ibrahimović,44
Sweden,Montenegro,Montenegro,Dejan Damjanović,64
Ukraine,Luxembourg,Ukraine,Artem Kravets,49
Ukraine,Luxembourg,Ukraine,Denys Harmash,57
Ukraine,Luxembourg,Ukraine,Yevhen Konoplyanka,86
Bermuda,Guatemala,Guatemala,Stefano Cincotta,27
Chile,Mexico,Mexico,Vicente Matías Vuoso,20
Chile,Mexico,Chile,Arturo Vidal,21
