date,home_team,away_team,team,scorer,minute
3/29/2016,Trinidad and Tobago,Saint Vincent and the Grenadines,Trinidad and Tobago,Trevin Caesar,89
3/29/2016,United Arab Emirates,Saudi Arabia,Saudi Arabia,Taisir Al-Jassim,24
3/29/2016,United Arab Emirates,Saudi Arabia,United Arab Emirates,Omar Abdulrahman,52
3/29/2016,United States,Guatemala,United States,Clint Dempsey,12
3/29/2016,United States,Guatemala,United States,Geoff Cameron,35
3/29/2016,United States,Guatemala,United States,Graham Zusi,46
3/29/2016,United States,Guatemala,United States,Jozy Altidore,89
3/29/2016,Uruguay,Peru,Uruguay,Edinson Cavani,51
3/29/2016,Uzbekistan,Bahrain,Uzbekistan,Sardor Rashidov,50
3/29/2016,Venezuela,Chile,Venezuela,Rómulo Otero,9
3/29/2016,Venezuela,Chile,Chile,Mauricio Pinilla,33
3/29/2016,Venezuela,Chile,Chile,Mauricio Pinilla,52
3/29/2016,Venezuela,Chile,Chile,Arturo Vidal,72
3/29/2016,Venezuela,Chile,Chile,Arturo Vidal,90
5/28/2016,New Zealand,Fiji,New Zealand,Themistoklis Tzimopoulos,16
5/28/2016,New Zealand,Fiji,New Zealand,Rory Fallon,41
5/28/2016,New Zealand,Fiji,Fiji,Roy Krishna,45
5/28/2016,New Zealand,Fiji,New Zealand,Chris Wood,61
5/28/2016,Vanuatu,Solomon Islands,Solomon Islands,Jerry Donga,19
5/29/2016,Lithuania,Estonia,Lithuania,Nerijus Valskis,30
5/29/2016,Lithuania,Estonia,Lithuania,Fedor Černych,45
5/29/2016,Papua New Guinea,New Caledonia,Papua New Guinea,Tommy Semmy,41
5/29/2016,Papua New Guinea,New Caledonia,New Caledonia,Jean-Philippe Saïko,83
5/29/2016,Tahiti,Samoa,Tahiti,Teaonui Tehau,2
5/29/2016,Tahiti,Samoa,Tahiti,Teaonui Tehau,5
5/29/2016,Tahiti,Samoa,Tahiti,Steevy Chong Hue,15
5/29/2016,Tahiti,Samoa,Tahiti,Alvin Tehau,39
5/31/2016,Solomon Islands,Fiji,Fiji,Roy Krishna,85
5/31/2016,Vanuatu,New Zealand,New Zealand,Chris Wood,4
5/31/2016,Vanuatu,New Zealand,New Zealand,Chris Wood,5
5/31/2016,Vanuatu,New Zealand,New Zealand,Michael McGlinchey,10
5/31/2016,Vanuatu,New Zealand,New Zealand,Rory Fallon,19
5/31/2016,Vanuatu,New Zealand,New Zealand,Kosta Barbarouses,45
6/1/2016,Latvia,Lithuania,Latvia,Artūrs Zjuzins,51
6/1/2016,Latvia,Lithuania,Latvia,Artjoms Rudņevs,72
6/1/2016,Latvia,Lithuania,Lithuania,Fedor Černych,84
6/1/2016,New Caledonia,Samoa,New Caledonia,Roy Kayara,18
6/1/2016,New Caledonia,Samoa,New Caledonia,Kevin Nemia,28
6/1/2016,New Caledonia,Samoa,New Caledonia,Roy Kayara,30
6/1/2016,New Caledonia,Samoa,New Caledonia,César Zeoula,38
6/1/2016,New Caledonia,Samoa,New Caledonia,Jean-Brice Wadriako,53
6/1/2016,New Caledonia,Samoa,New Caledonia,Joerisse Cexome,79
6/1/2016,New Caledonia,Samoa,New Caledonia,Brice Dahité,89
6/1/2016,Papua New Guinea,Tahiti,Papua New Guinea,Raymond Gunemba,45
6/1/2016,Papua New Guinea,Tahiti,Papua New Guinea,Raymond Gunemba,64
6/1/2016,Papua New Guinea,Tahiti,Tahiti,Alvin Tehau,66
6/1/2016,Papua New Guinea,Tahiti,Tahiti,Teaonui Tehau,76
6/3/2016,United States,Colombia,Colombia,"Cristián Zapata",8
6/3/2016,United States,Colombia,Colombia,James Rodríguez,42
6/4/2016,Fiji,Vanuatu,Vanuatu,Dominique Fred,19
6/4/2016,Fiji,Vanuatu,Vanuatu,Fenedy Masauvakalo,41
6/4/2016,Fiji,Vanuatu,Fiji,Samuela Kautoga,51
6/4/2016,Fiji,Vanuatu,Fiji,Roy Krishna,69
6/4/2016,Fiji,Vanuatu,Vanuatu,Brian Kaltak,75
6/4/2016,Haiti,Peru,Peru,Paolo Guerrero,61
6/4/2016,New Zealand,Solomon Islands,New Zealand,Luke Adams,80
6/5/2016,Jamaica,Venezuela,Venezuela,Josef Martínez,15
6/5/2016,Mexico,Uruguay,Mexico,Álvaro Pereira,4
6/5/2016,Mexico,Uruguay,Uruguay,Diego Godín,74
6/5/2016,Mexico,Uruguay,Mexico,"Rafael Márquez",85
6/5/2016,Mexico,Uruguay,Mexico,Héctor Herrera,90
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Michael Foster,13
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Raymond Gunemba,33
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Michael Foster,51
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Nigel Dabinyaba,58
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Raymond Gunemba,63
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Koriak Upaiga,67
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Nigel Dabinyaba,74
6/5/2016,Papua New Guinea,Samoa,Papua New Guinea,Raymond Gunemba,85
6/5/2016,Tahiti,New Caledonia,New Caledonia,Bertrand Kaï,80
6/5/2016,Tahiti,New Caledonia,Tahiti,Teaonui Tehau,90
6/6/2016,Argentina,Chile,Argentina,Ángel Di María,51
6/6/2016,Argentina,Chile,Argentina,Éver Banega,59
6/6/2016,Argentina,Chile,Chile,José Pedro Fuenzalida,90
6/6/2016,Panama,Bolivia,Panama,Blas Pérez,11
6/6/2016,Panama,Bolivia,Bolivia,Juan Carlos Arce,54
6/6/2016,Panama,Bolivia,Panama,Blas Pérez,87
6/7/2016,Colombia,Paraguay,Colombia,Carlos Bacca,12
6/7/2016,Colombia,Paraguay,Colombia,James Rodríguez,30
6/7/2016,Colombia,Paraguay,Paraguay,Víctor Ayala,71
6/7/2016,United States,Costa Rica,United States,Clint Dempsey,9
6/7/2016,United States,Costa Rica,United States,Jermaine Jones,37
6/7/2016,United States,Costa Rica,United States,Bobby Wood,42
6/7/2016,United States,Costa Rica,United States,Graham Zusi,87
6/8/2016,Brazil,Haiti,Brazil,Philippe Coutinho,14
6/8/2016,Brazil,Haiti,Brazil,Philippe Coutinho,29
6/8/2016,Brazil,Haiti,Brazil,Renato Augusto,35
6/8/2016,Brazil,Haiti,Brazil,Gabriel Barbosa,59
6/8/2016,Brazil,Haiti,Brazil,Lucas Lima,67
6/8/2016,Brazil,Haiti,Haiti,James Marcelin,70
6/8/2016,Brazil,Haiti,Brazil,Renato Augusto,86
6/8/2016,Brazil,Haiti,Brazil,Philippe Coutinho,90
6/8/2016,Ecuador,Peru,Peru,Christian Cueva,5
6/8/2016,Ecuador,Peru,Peru,Edison Flores,13
6/8/2016,Ecuador,Peru,Ecuador,Enner Valencia,39
6/8/2016,Ecuador,Peru,Ecuador,Miller Bolaños,49
6/8/2016,New Zealand,New Caledonia,New Zealand,Chris Wood,49
6/8/2016,Papua New Guinea,Solomon Islands,Papua New Guinea,Michael Foster,38
6/8/2016,Papua New Guinea,Solomon Islands,Solomon Islands,Judd Molea,41
6/8/2016,Papua New Guinea,Solomon Islands,Papua New Guinea,Nigel Dabinyaba,82
6/9/2016,Mexico,Jamaica,Mexico,"Javier Hernández",18
6/9/2016,Mexico,Jamaica,Mexico,Oribe Peralta,81
6/9/2016,Uruguay,Venezuela,Venezuela,Salomón Rondón,36
6/10/2016,Argentina,Panama,Argentina,"Nicolás Otamendi",7
6/10/2016,Argentina,Panama,Argentina,Lionel Messi,68
6/10/2016,Argentina,Panama,Argentina,Lionel Messi,78
6/10/2016,Argentina,Panama,Argentina,Lionel Messi,87
6/10/2016,Argentina,Panama,Argentina,Sergio Agüero,90
6/10/2016,Chile,Bolivia,Chile,Arturo Vidal,46
6/10/2016,Chile,Bolivia,Bolivia,Jhasmani Campos,61
6/10/2016,Chile,Bolivia,Chile,Arturo Vidal,90
6/10/2016,France,Romania,France,Olivier Giroud,57
6/10/2016,France,Romania,Romania,Bogdan Stancu,65
6/10/2016,France,Romania,France,Dimitri Payet,89
6/11/2016,Albania,Switzerland,Switzerland,Fabian Schär,5
6/11/2016,Colombia,Costa Rica,Costa Rica,Johan Venegas,2
6/11/2016,Colombia,Costa Rica,Colombia,Frank Fabra,6
6/11/2016,Colombia,Costa Rica,Costa Rica,Frank Fabra,34
6/11/2016,Colombia,Costa Rica,Costa Rica,Celso Borges,58
6/11/2016,Colombia,Costa Rica,Colombia,Marlos Moreno,73
6/11/2016,England,Russia,England,Eric Dier,73
6/11/2016,England,Russia,Russia,Vasili Berezutski,90
6/11/2016,United States,Paraguay,United States,Clint Dempsey,27
6/11/2016,Wales,Slovakia,Wales,Gareth Bale,10
6/11/2016,Wales,Slovakia,Slovakia,Ondrej Duda,61
6/11/2016,Wales,Slovakia,Wales,Hal Robson-Kanu,81
6/12/2016,Brazil,Peru,Peru,Raúl Ruidíaz,75
6/12/2016,Ecuador,Haiti,Ecuador,Enner Valencia,11
6/12/2016,Ecuador,Haiti,Ecuador,Jaime Ayoví,20
6/12/2016,Ecuador,Haiti,Ecuador,Christian Noboa,57
6/12/2016,Ecuador,Haiti,Ecuador,Antonio Valencia,78
6/12/2016,Germany,Ukraine,Germany,Shkodran Mustafi,19
6/12/2016,Germany,Ukraine,Germany,Bastian Schweinsteiger,90
6/12/2016,Poland,Northern Ireland,Poland,Arkadiusz Milik,51
6/12/2016,Turkey,Croatia,Croatia,Luka Modrić,41
6/13/2016,Belgium,Italy,Italy,Emanuele Giaccherini,32
6/13/2016,Belgium,Italy,Italy,Graziano Pellè,90
6/13/2016,Mexico,Venezuela,Venezuela,"José Manuel Velázquez",10
6/13/2016,Mexico,Venezuela,Mexico,Jesús Manuel Corona,80
6/13/2016,Republic of Ireland,Sweden,Republic of Ireland,Wes Hoolahan,48
6/13/2016,Republic of Ireland,Sweden,Sweden,Ciaran Clark,71
6/13/2016,Spain,Czech Republic,Spain,Gerard Piqué,87
6/13/2016,Uruguay,Jamaica,Uruguay,"Abel Hernández",21
6/13/2016,Uruguay,Jamaica,Uruguay,Je-Vaughn Watson,66
6/13/2016,Uruguay,Jamaica,Uruguay,Mathías Corujo,88
6/14/2016,Argentina,Bolivia,Argentina,Erik Lamela,13
6/14/2016,Argentina,Bolivia,Argentina,Ezequiel Lavezzi,15
6/14/2016,Argentina,Bolivia,Argentina,Víctor Cuesta,32
6/14/2016,Austria,Hungary,Hungary,"Ádám Szalai",62
6/14/2016,Austria,Hungary,Hungary,"Zoltán Stieber",87
6/14/2016,Chile,Panama,Panama,Miguel Camargo,5
6/14/2016,Chile,Panama,Chile,Eduardo Vargas,15
6/14/2016,Chile,Panama,Chile,Eduardo Vargas,43
6/14/2016,Chile,Panama,Chile,"Alexis Sánchez",50
6/14/2016,Chile,Panama,Panama,Abdiel Arroyo,75
6/14/2016,Chile,Panama,Chile,"Alexis Sánchez",89
6/14/2016,Portugal,Iceland,Portugal,Nani,31
6/14/2016,Portugal,Iceland,Iceland,Birkir Bjarnason,50
6/15/2016,France,Albania,France,Antoine Griezmann,90
6/15/2016,France,Albania,France,Dimitri Payet,90
6/15/2016,Romania,Switzerland,Romania,Bogdan Stancu,18
6/15/2016,Romania,Switzerland,Switzerland,Admir Mehmedi,57
6/15/2016,Russia,Slovakia,Slovakia,Vladimír Weiss,32
6/15/2016,Russia,Slovakia,Slovakia,"Marek Hamšík",45
6/15/2016,Russia,Slovakia,Russia,Denis Glushakov,80
6/16/2016,England,Wales,Wales,Gareth Bale,42
6/16/2016,England,Wales,England,Jamie Vardy,56
6/16/2016,England,Wales,England,Daniel Sturridge,90
6/16/2016,Ukraine,Northern Ireland,Northern Ireland,Gareth McAuley,49
6/16/2016,Ukraine,Northern Ireland,Northern Ireland,Niall McGinn,90
6/16/2016,United States,Ecuador,United States,Clint Dempsey,22
6/16/2016,United States,Ecuador,United States,Gyasi Zardes,65
6/16/2016,United States,Ecuador,Ecuador,Michael Arroyo,74
6/17/2016,Czech Republic,Croatia,Croatia,"Ivan Perišić",37
6/17/2016,Czech Republic,Croatia,Croatia,Ivan Rakitić,59
6/17/2016,Czech Republic,Croatia,Czech Republic,Milan Škoda,76
6/17/2016,Czech Republic,Croatia,Czech Republic,"Tomáš Necid",89
6/17/2016,Italy,Sweden,Italy,Éder,88
6/17/2016,Spain,Turkey,Spain,Álvaro Morata,34
6/17/2016,Spain,Turkey,Spain,Nolito,37
6/17/2016,Spain,Turkey,Spain,Álvaro Morata,48
6/18/2016,Argentina,Venezuela,Argentina,Gonzalo Higuaín,8
6/18/2016,Argentina,Venezuela,Argentina,Gonzalo Higuaín,28
6/18/2016,Argentina,Venezuela,Argentina,Lionel Messi,60
6/18/2016,Argentina,Venezuela,Venezuela,Salomón Rondón,70
6/18/2016,Argentina,Venezuela,Argentina,Erik Lamela,71
6/18/2016,Belgium,Republic of Ireland,Belgium,Romelu Lukaku,48
6/18/2016,Belgium,Republic of Ireland,Belgium,Axel Witsel,61
6/18/2016,Belgium,Republic of Ireland,Belgium,Romelu Lukaku,70
6/18/2016,Iceland,Hungary,Iceland,Gylfi Sigurðsson,40
6/18/2016,Iceland,Hungary,Hungary,"Birkir Már Sævarsson",88
6/18/2016,Mexico,Chile,Chile,Edson Puch,15
6/18/2016,Mexico,Chile,Chile,Eduardo Vargas,43
6/18/2016,Mexico,Chile,Chile,"Alexis Sánchez",48
6/18/2016,Mexico,Chile,Chile,Eduardo Vargas,51
6/18/2016,Mexico,Chile,Chile,Eduardo Vargas,57
6/18/2016,Mexico,Chile,Chile,Eduardo Vargas,73
6/18/2016,Mexico,Chile,Chile,Edson Puch,87
6/19/2016,Romania,Albania,Albania,Armando Sadiku,43
6/20/2016,Russia,Wales,Wales,Aaron Ramsey,11
6/20/2016,Russia,Wales,Wales,Neil Taylor,20
6/20/2016,Russia,Wales,Wales,Gareth Bale,67
6/21/2016,Croatia,Spain,Spain,Álvaro Morata,7
6/21/2016,Croatia,Spain,Croatia,Nikola Kalinić,45
6/21/2016,Croatia,Spain,Croatia,"Ivan Perišić",87
6/21/2016,Czech Republic,Turkey,Turkey,Burak Yılmaz,10
6/21/2016,Czech Republic,Turkey,Turkey,Ozan Tufan,65
6/21/2016,Northern Ireland,Germany,Germany,Mario Gómez,30
6/21/2016,Ukraine,Poland,Poland,Jakub Błaszczykowski,54
6/21/2016,United States,Argentina,Argentina,Ezequiel Lavezzi,3
6/21/2016,United States,Argentina,Argentina,Lionel Messi,32
6/21/2016,United States,Argentina,Argentina,Gonzalo Higuaín,50
6/21/2016,United States,Argentina,Argentina,Gonzalo Higuaín,86
6/22/2016,Colombia,Chile,Chile,"Charles Aránguiz",6
6/22/2016,Colombia,Chile,Chile,José Pedro Fuenzalida,10
6/22/2016,Hungary,Portugal,Hungary,"Zoltán Gera",19
6/22/2016,Hungary,Portugal,Portugal,Nani,42
6/22/2016,Hungary,Portugal,Hungary,"Balázs Dzsudzsák",47
6/22/2016,Hungary,Portugal,Portugal,Cristiano Ronaldo,50
6/22/2016,Hungary,Portugal,Hungary,"Balázs Dzsudzsák",55
6/22/2016,Hungary,Portugal,Portugal,Cristiano Ronaldo,62
6/22/2016,Iceland,Austria,Iceland,Jón Daði Böðvarsson,18
6/22/2016,Iceland,Austria,Austria,Alessandro Schöpf,60
6/22/2016,Iceland,Austria,Iceland,Arnór Ingvi Traustason,90
6/22/2016,Italy,Republic of Ireland,Republic of Ireland,Robbie Brady,85
6/22/2016,Sweden,Belgium,Belgium,Radja Nainggolan,84
6/25/2016,Croatia,Portugal,Portugal,Ricardo Quaresma,117
6/25/2016,Switzerland,Poland,Poland,Jakub Błaszczykowski,39
6/25/2016,Switzerland,Poland,Switzerland,Xherdan Shaqiri,82
6/25/2016,United States,Colombia,Colombia,Carlos Bacca,31
6/25/2016,Wales,Northern Ireland,Wales,Gareth McAuley,75
6/26/2016,France,Republic of Ireland,Republic of Ireland,Robbie Brady,2
6/26/2016,France,Republic of Ireland,France,Antoine Griezmann,58
6/26/2016,France,Republic of Ireland,France,Antoine Griezmann,61
6/26/2016,Germany,Slovakia,Germany,Jérôme Boateng,8
6/26/2016,Germany,Slovakia,Germany,Mario Gómez,43
6/26/2016,Germany,Slovakia,Germany,Julian Draxler,63
6/26/2016,Hungary,Belgium,Belgium,Toby Alderweireld,10
6/26/2016,Hungary,Belgium,Belgium,Michy Batshuayi,78
6/26/2016,Hungary,Belgium,Belgium,Eden Hazard,80
6/26/2016,Hungary,Belgium,Belgium,Yannick Carrasco,90
6/27/2016,England,Iceland,England,Wayne Rooney,4
6/27/2016,England,Iceland,Iceland,Ragnar Sigurðsson,6
6/27/2016,England,Iceland,Iceland,Kolbeinn Sigþórsson,18
6/27/2016,Italy,Spain,Italy,Giorgio Chiellini,33
6/27/2016,Italy,Spain,Italy,Graziano Pellè,90
6/30/2016,Poland,Portugal,Poland,Robert Lewandowski,2
6/30/2016,Poland,Portugal,Portugal,Renato Sanches,33
7/1/2016,Wales,Belgium,Belgium,Radja Nainggolan,13
7/1/2016,Wales,Belgium,Wales,Ashley Williams,31
7/1/2016,Wales,Belgium,Wales,Hal Robson-Kanu,55
7/1/2016,Wales,Belgium,Wales,Sam Vokes,86
7/2/2016,Germany,Italy,Germany,Mesut Özil,65
7/2/2016,Germany,Italy,Italy,Leonardo Bonucci,78
7/3/2016,France,Iceland,France,Olivier Giroud,12
7/3/2016,France,Iceland,France,Paul Pogba,20
7/3/2016,France,Iceland,France,Dimitri Payet,43
7/3/2016,France,Iceland,France,Antoine Griezmann,45
7/3/2016,France,Iceland,Iceland,Kolbeinn Sigþórsson,56
7/3/2016,France,Iceland,France,Olivier Giroud,59
7/3/2016,France,Iceland,Iceland,Birkir Bjarnason,84
7/6/2016,Portugal,Wales,Portugal,Cristiano Ronaldo,50
7/6/2016,Portugal,Wales,Portugal,Nani,53
7/7/2016,France,Germany,France,Antoine Griezmann,45
7/7/2016,France,Germany,France,Antoine Griezmann,72
7/10/2016,France,Portugal,Portugal,Eder,109
9/1/2016,Argentina,Uruguay,Argentina,Lionel Messi,43
9/1/2016,Australia,Iraq,Australia,Massimo Luongo,58
9/1/2016,Australia,Iraq,Australia,Tomi Juric,64
9/1/2016,Colombia,Venezuela,Colombia,James Rodríguez,45
9/1/2016,Colombia,Venezuela,Colombia,Macnelly Torres,82
9/1/2016,Ecuador,Brazil,Brazil,Neymar,72
9/1/2016,Ecuador,Brazil,Brazil,Gabriel Jesus,87
9/1/2016,Ecuador,Brazil,Brazil,Gabriel Jesus,90
9/1/2016,Iran,Qatar,Iran,Reza Ghoochannejhad,90
9/1/2016,Iran,Qatar,Iran,Alireza Jahanbakhsh,90
9/1/2016,Japan,United Arab Emirates,Japan,Keisuke Honda,11
9/1/2016,Japan,United Arab Emirates,United Arab Emirates,Ahmed Khalil,20
9/1/2016,Japan,United Arab Emirates,United Arab Emirates,Ahmed Khalil,54
9/1/2016,Paraguay,Chile,Paraguay,Óscar Romero,6
9/1/2016,Paraguay,Chile,Paraguay,Paulo da Silva,9
9/1/2016,Paraguay,Chile,Chile,Arturo Vidal,37
9/1/2016,Saudi Arabia,Thailand,Saudi Arabia,Nawaf Al-Abed,84
9/1/2016,South Korea,China PR,South Korea,Zheng Zhi,21
9/1/2016,South Korea,China PR,South Korea,Lee Chung-yong,63
9/1/2016,South Korea,China PR,South Korea,Koo Ja-cheol,66
9/1/2016,South Korea,China PR,China PR,Yu Hai,74
9/1/2016,South Korea,China PR,China PR,Hao Junmin,77
9/1/2016,Uzbekistan,Syria,Uzbekistan,Alexander Geynrikh,73
9/2/2016,El Salvador,Mexico,El Salvador,Alexander Larín,24
9/2/2016,El Salvador,Mexico,Mexico,Héctor Moreno,52
9/2/2016,El Salvador,Mexico,Mexico,Ángel Sepúlveda,58
9/2/2016,El Salvador,Mexico,Mexico,Raúl Jiménez,73
9/2/2016,Haiti,Costa Rica,Costa Rica,Randall Azofeifa,71
9/2/2016,Honduras,Canada,Canada,Manjrekar James,35
9/2/2016,Honduras,Canada,Honduras,Mario Martínez,45
9/2/2016,Honduras,Canada,Honduras,Romell Quioto,50
9/2/2016,Panama,Jamaica,Panama,Gabriel Torres,28
9/2/2016,Panama,Jamaica,Panama,Abdiel Arroyo,90
9/2/2016,Saint Vincent and the Grenadines,United States,United States,Bobby Wood,28
9/2/2016,Saint Vincent and the Grenadines,United States,United States,Matt Besler,32
9/2/2016,Saint Vincent and the Grenadines,United States,United States,Jozy Altidore,43
9/2/2016,Saint Vincent and the Grenadines,United States,United States,Christian Pulisic,71
9/2/2016,Saint Vincent and the Grenadines,United States,United States,Sacha Kljestan,78
9/2/2016,Saint Vincent and the Grenadines,United States,United States,Christian Pulisic,90
9/2/2016,Trinidad and Tobago,Guatemala,Guatemala,Carlos Ruiz,36
9/2/2016,Trinidad and Tobago,Guatemala,Trinidad and Tobago,Joevin Jones,45
9/2/2016,Trinidad and Tobago,Guatemala,Trinidad and Tobago,Joevin Jones,62
9/2/2016,Trinidad and Tobago,Guatemala,Guatemala,Carlos Ruiz,87
9/4/2016,Denmark,Armenia,Denmark,Christian Eriksen,17
9/4/2016,Kazakhstan,Poland,Poland,Bartosz Kapustka,9
9/4/2016,Kazakhstan,Poland,Poland,Robert Lewandowski,35
9/4/2016,Kazakhstan,Poland,Kazakhstan,Sergei Khizhnichenko,51
9/4/2016,Kazakhstan,Poland,Kazakhstan,Sergei Khizhnichenko,58
9/4/2016,Lithuania,Slovenia,Lithuania,Fedor Černych,32
9/4/2016,Lithuania,Slovenia,Lithuania,Vykintas Slivka,34
9/4/2016,Lithuania,Slovenia,Slovenia,Rene Krhin,77
9/4/2016,Lithuania,Slovenia,Slovenia,"Boštjan Cesar",90
9/4/2016,Malta,Scotland,Scotland,Robert Snodgrass,10
9/4/2016,Malta,Scotland,Malta,Alfred Effiong,14
9/4/2016,Malta,Scotland,Scotland,Chris Martin,53
9/4/2016,Malta,Scotland,Scotland,Robert Snodgrass,61
9/4/2016,Malta,Scotland,Scotland,Steven Fletcher,78
9/4/2016,Malta,Scotland,Scotland,Robert Snodgrass,84
9/4/2016,Norway,Germany,Germany,Thomas Müller,16
9/4/2016,Norway,Germany,Germany,Joshua Kimmich,45
9/4/2016,Norway,Germany,Germany,Thomas Müller,60
9/4/2016,Romania,Montenegro,Romania,Adrian Popa,85
9/4/2016,Romania,Montenegro,Montenegro,Stevan Jovetić,87
9/4/2016,San Marino,Azerbaijan,Azerbaijan,Ruslan Qurbanov,45
9/4/2016,Slovakia,England,England,Adam Lallana,90
9/5/2016,Albania,North Macedonia,Albania,Armando Sadiku,9
9/5/2016,Albania,North Macedonia,North Macedonia,Ezgjan Alioski,51
9/5/2016,Albania,North Macedonia,Albania,Bekim Balaj,89
9/5/2016,Croatia,Turkey,Croatia,Ivan Rakitić,44
9/5/2016,Croatia,Turkey,Turkey,Hakan Çalhanoğlu,45
9/5/2016,Finland,Kosovo,Finland,Paulus Arajuuri,18
9/5/2016,Finland,Kosovo,Kosovo,Valon Berisha,60
9/5/2016,Georgia,Austria,Austria,Martin Hinteregger,16
9/5/2016,Georgia,Austria,Austria,Marc Janko,42
9/5/2016,Georgia,Austria,Georgia,Jano Ananidze,78
9/5/2016,Israel,Italy,Italy,Graziano Pellè,14
9/5/2016,Israel,Italy,Italy,Antonio Candreva,31
9/5/2016,Israel,Italy,Israel,Tal Ben Haim,35
9/5/2016,Israel,Italy,Italy,Ciro Immobile,83
9/5/2016,Serbia,Republic of Ireland,Republic of Ireland,Jeff Hendrick,3
9/5/2016,Serbia,Republic of Ireland,Serbia,Filip Kostić,62
9/5/2016,Serbia,Republic of Ireland,Serbia,"Dušan Tadić",69
9/5/2016,Serbia,Republic of Ireland,Republic of Ireland,Daryl Murphy,80
9/5/2016,Spain,Liechtenstein,Spain,Diego Costa,10
9/5/2016,Spain,Liechtenstein,Spain,Sergi Roberto,55
9/5/2016,Spain,Liechtenstein,Spain,David Silva,59
9/5/2016,Spain,Liechtenstein,Spain,Vitolo,60
9/5/2016,Spain,Liechtenstein,Spain,Diego Costa,66
9/5/2016,Spain,Liechtenstein,Spain,Álvaro Morata,82
9/5/2016,Spain,Liechtenstein,Spain,Álvaro Morata,83
9/5/2016,Spain,Liechtenstein,Spain,David Silva,90
9/5/2016,Ukraine,Iceland,Iceland,Alfreð Finnbogason,6
9/5/2016,Ukraine,Iceland,Ukraine,Andriy Yarmolenko,41
9/5/2016,Wales,Moldova,Wales,Sam Vokes,38
9/5/2016,Wales,Moldova,Wales,Joe Allen,44
9/5/2016,Wales,Moldova,Wales,Gareth Bale,51
9/5/2016,Wales,Moldova,Wales,Gareth Bale,90
9/6/2016,Andorra,Latvia,Latvia,Valērijs Šabala,48
9/6/2016,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,Emir Spahić,7
9/6/2016,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,Edin Džeko,23
9/6/2016,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,Haris Medunjanin,71
9/6/2016,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,"Vedad Ibišević",83
9/6/2016,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,Emir Spahić,90
9/6/2016,Brazil,Colombia,Brazil,Miranda,2
9/6/2016,Brazil,Colombia,Colombia,Marquinhos,37
9/6/2016,Brazil,Colombia,Brazil,Neymar,74
9/6/2016,Bulgaria,Luxembourg,Bulgaria,Dimitar Rangelov,16
9/6/2016,Bulgaria,Luxembourg,Luxembourg,Aurélien Joachim,60
9/6/2016,Bulgaria,Luxembourg,Luxembourg,Aurélien Joachim,62
9/6/2016,Bulgaria,Luxembourg,Bulgaria,Marcelo Nascimento da Costa,65
9/6/2016,Bulgaria,Luxembourg,Bulgaria,Ivelin Popov,79
9/6/2016,Bulgaria,Luxembourg,Bulgaria,Aleksandar Tonev,90
9/6/2016,Bulgaria,Luxembourg,Luxembourg,Florian Bohnert,90
9/6/2016,Canada,El Salvador,Canada,Cyle Larin,11
9/6/2016,Canada,El Salvador,Canada,Nikolas Ledgerwood,53
9/6/2016,Canada,El Salvador,El Salvador,Nelson Bonilla,78
9/6/2016,Canada,El Salvador,Canada,David Edgar,90
9/6/2016,Costa Rica,Panama,Costa Rica,Christian Bolaños,19
9/6/2016,Costa Rica,Panama,Costa Rica,Christian Bolaños,79
9/6/2016,Costa Rica,Panama,Costa Rica,Rónald Matarrita,84
9/6/2016,Costa Rica,Panama,Panama,Luis Tejada,90
9/6/2016,Cyprus,Belgium,Belgium,Romelu Lukaku,13
9/6/2016,Cyprus,Belgium,Belgium,Romelu Lukaku,61
9/6/2016,Cyprus,Belgium,Belgium,Yannick Carrasco,81
9/6/2016,Gibraltar,Greece,Greece,Konstantinos Mitroglou,10
9/6/2016,Gibraltar,Greece,Gibraltar,Liam Walker,26
9/6/2016,Gibraltar,Greece,Greece,Scott Wiseman,44
9/6/2016,Gibraltar,Greece,Greece,Kostas Fortounis,45
9/6/2016,Gibraltar,Greece,Greece,Vasilis Torosidis,45
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Oalex Anderson,10
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Guatemala,Gerson Tinoco,13
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Guatemala,Carlos Ruiz,20
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Guatemala,Carlos Ruiz,27
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Oalex Anderson,29
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Guatemala,Carlos Ruiz,36
9/6/2016,Guatemala,Saint Vincent and the Grenadines,Guatemala,Jairo Arreola,55
